Commune,Niveau,Détails
Juillé (16230),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Bief (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Julienne (16200),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Julienne (16200),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Chèvrerie (16240),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Péruse (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Couronne (16400),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Faye (16700),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Bief (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Faye (16700),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Péruse (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Forêt-de-Tessé (16240),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Péruse (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Magdeleine (16240),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Aume-Couture (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Magdeleine (16240),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Péruse (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Rochefoucauld-en-Angoumois (16110),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Rochefoucauld-en-Angoumois (16110),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Rochette (16110),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
La Tâche (16260),Crise,zone : OUGC Karst /  Zone d'alerte : Bonnieure (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
